ID,Latitude,Longitude,poids_dechets
4339638605,14.7048479,-17.4695273,5.4
4339703863,14.722267,-17.4696181,5.4
4339703864,14.7230238,-17.4691755,5.4
4339928212,14.7416145,-17.4715636,5.4
4361668889,14.7226554,-17.4547854,5.4
4379702606,14.7186553,-17.4625495,5.4
4379796245,14.7200588,-17.4654725,5.4
4380487852,14.7142953,-17.4652941,5.4
4380552147,14.7265306,-17.4711776,5.4
4380701768,14.7046871,-17.4354378,5.4
4401445717,14.7397087,-17.468316,5.4
4402301088,14.739991,-17.4474089,5.4
4409805251,14.6979739,-17.4591837,5.4
4412270614,14.6986806,-17.455135,5.4
4413037946,14.7041905,-17.4355742,5.4
4413238132,14.7161959,-17.4516946,5.4
4418979709,14.7407529,-17.4591099,5.4
4419182444,14.7320414,-17.459328,5.4
4430595362,14.7288331,-17.445642,5.4
4450362191,14.7206441,-17.46824,5.4
4464839795,14.7498269,-17.4554578,5.4
4488885243,14.7269789,-17.4468394,5.4
4488885245,14.7276975,-17.4468917,5.4
4488885246,14.7264757,-17.4413248,5.4
4522764109,14.7310809,-17.450585,5.4
4522764110,14.7140302,-17.4659378,5.4
4522834294,14.7311058,-17.4506659,5.4
4528338091,14.70587,-17.4705591,5.4
4535697289,14.7123466,-17.4558658,5.4
4546834852,14.7026921,-17.4620489,5.4
4546834854,14.6976668,-17.465465,5.4
4546839801,14.7311272,-17.4354497,5.4
4546839802,14.7261255,-17.4381846,5.4
4546839905,14.7309614,-17.4355727,5.4
4546839914,14.6983023,-17.4647839,5.4
4556149089,14.7043981,-17.4705051,5.4
4560774980,14.711355,-17.4638507,5.4
4590744791,14.702204,-17.4607805,5.4
4609712289,14.7388156,-17.4661883,5.4
4616804161,14.7483585,-17.4642981,5.4
4637444834,14.7426769,-17.4528497,5.4
4637455622,14.7416128,-17.4425298,5.4
4637463317,14.7301784,-17.4542479,5.4
4637470319,14.7384196,-17.4657911,5.4
4674764895,14.7319098,-17.4528033,5.4
4674771294,14.7342077,-17.4518746,5.4
4674771296,14.7325641,-17.4521781,5.4
4674771390,14.7325263,-17.4488268,5.4
4674783594,14.7299855,-17.4526027,5.4
4674799689,14.7324178,-17.4493711,5.4
4675662934,14.6998067,-17.4594752,5.4
4682218833,14.7292182,-17.4594037,5.4
4683946459,14.73052,-17.4666836,5.4
4691106990,14.7450212,-17.4498217,5.4
4692845989,14.7289304,-17.445066,5.4
4694407389,14.7012929,-17.4585502,5.4
4701395591,14.7127173,-17.4711974,5.4
4701404889,14.7133746,-17.4712312,5.4
4705173338,14.7403662,-17.4370602,5.4
4705173339,14.7404515,-17.4366593,5.4
4708550755,14.7057295,-17.4584457,5.4
4720991592,14.7489043,-17.4681006,5.4
4733980628,14.7226832,-17.4530316,5.4
4733980629,14.7342638,-17.4520858,5.4
4733991425,14.729638,-17.4506275,5.4
4733991426,14.7249719,-17.4453817,5.4
4733995221,14.7297295,-17.4506081,5.4
4735865541,14.7315747,-17.4566965,5.4
4737924523,14.7160527,-17.470898,5.4
4780912424,14.7269134,-17.4427655,5.4
4801775308,14.7265414,-17.4453731,5.4
4806347731,14.727573,-17.4715131,5.4
4806347742,14.7274929,-17.471517,5.4
4806348972,14.7275494,-17.4715205,5.4
4808226003,14.7505942,-17.4709912,5.4
4808227679,14.7526666,-17.4694958,5.4
4808228166,14.7520316,-17.4699508,5.4
4808229508,14.7505203,-17.4710465,5.4
4808230252,14.7503011,-17.47125,5.4
4808233561,14.7483727,-17.470853,5.4
4810716423,14.7224669,-17.4530752,5.4
4816483810,14.7528706,-17.4609907,5.4
4818853021,14.7415392,-17.4510754,5.4
4819887915,14.7143553,-17.4513334,5.4
4831213888,14.6981946,-17.4493222,5.4
4837074085,14.7444471,-17.4531216,5.4
4855627080,14.7295975,-17.4502166,5.4
4855627081,14.7298678,-17.4497785,5.4
4855627082,14.7298743,-17.4498389,5.4
4855627083,14.7298899,-17.4499113,5.4
4855627084,14.7299029,-17.4499931,5.4
4868142222,14.6978901,-17.4586523,5.4
4872313750,14.7317551,-17.4358949,5.4
4872313751,14.7317785,-17.4362731,5.4
4872388675,14.7361163,-17.4368155,5.4
4872388676,14.7355093,-17.4377543,5.4
